from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,Avg(Time TFTF),Avg(Time Djikstra),Avg(Time A*),Avg(Routes TFTF),Avg(Routes Djik ),Avg(Routes A*)
8.49798,124.63,8.50373,124.608,147,93,62,1,1,1,2,2,2,,,,,,
8.49685,124.603,8.48366,124.597,152,60,60,1,1,1,2,1,1,,,,,,
8.47448,124.681,8.47417,124.684,151,57,58,1,1,1,2,1,1,,,,,,
8.4928,124.652,8.47754,124.649,155,86,73,1,1,1,2,1,2,,,,,,
8.50407,124.626,8.5045,124.621,147,61,61,1,1,1,2,1,1,,,,,,
8.50139,124.642,8.48144,124.637,165,83,80,1,1,1,2,2,2,,,,,,
8.48364,124.731,8.48527,124.659,175,80,79,1,1,1,2,2,3,,,,,,
8.48527,124.659,8.47617,124.641,157,114,80,1,1,1,2,4,4,,,,,,
8.48614,124.639,8.48324,124.638,144,61,57,1,1,1,2,1,1,,,,,,
8.47659,124.719,8.48392,124.731,154,54,60,1,1,1,1,1,1,,,,,,
8.50368,124.626,8.49714,124.625,150,87,65,1,1,1,1,1,1,,,,,,
8.36987,124.608,8.2927,124.523,146,216,69,1,1,1,2,1,1,,,,,,
8.4907,124.656,8.46125,124.711,128,311,74,1,1,1,2,3,3,,,,,,
8.48166,124.645,8.4862,124.648,136,60,58,1,1,1,1,1,1,,,,,,
8.48529,124.637,8.47907,124.645,146,75,64,1,1,1,2,2,2,,,,,,
8.47789,124.646,8.48649,124.648,142,77,63,1,1,1,2,1,1,,,,,,
8.43153,124.617,8.40097,124.611,180,78,65,1,1,1,2,1,1,,,,,,
8.48303,124.658,8.48101,124.637,190,163,101,1,1,1,2,2,2,,,,,,
8.48741,124.63,8.48583,124.639,178,65,75,1,1,1,2,1,1,,,,,,
8.4989,124.662,8.5026,124.664,138,65,60,1,1,1,2,1,1,,,,,,
8.48277,124.63,8.46218,124.632,141,137,96,1,1,1,2,2,2,,,,,,
8.46836,124.609,8.47301,124.638,153,97,99,1,1,1,2,4,4,,,,,,
8.48019,124.672,8.46984,124.705,176,106,89,1,1,1,2,1,1,,,,,,
8.49437,124.652,8.49333,124.652,142,65,63,1,1,1,1,1,1,,,,,,
8.48229,124.649,8.47667,124.646,142,85,66,1,1,1,1,1,1,,,,,,
8.49895,124.645,8.47301,124.638,144,100,72,1,1,1,2,3,3,,,,,,
8.48571,124.636,8.48724,124.63,145,64,71,1,1,1,1,1,1,,,,,,
8.48266,124.646,8.5047,124.643,152,160,84,1,1,1,2,1,1,,,,,,
8.48986,124.764,8.46778,124.779,133,75,62,1,1,1,1,1,1,,,,,,
8.4723,124.618,8.47066,124.646,161,124,114,1,1,1,1,4,5,,,,,,
8.3094,124.57,8.31106,124.548,127,59,60,1,1,1,1,1,1,,,,,,
8.48289,124.593,8.46256,124.568,128,63,67,1,1,1,2,1,1,,,,,,
8.4973,124.631,8.4852,124.654,153,94,72,1,1,1,1,1,1,,,,,,
8.48445,124.639,8.47839,124.628,148,95,77,1,1,1,1,1,1,,,,,,
8.47736,124.629,8.47428,124.615,151,110,76,1,1,1,2,1,1,,,,,,
8.48323,124.649,8.48422,124.65,142,59,61,1,1,1,2,1,1,,,,,,
8.50017,124.593,8.50398,124.61,133,64,60,1,1,1,2,3,2,,,,,,
8.37266,124.609,8.41954,124.613,194,64,65,1,1,1,1,2,2,,,,,,
8.47686,124.632,8.47271,124.619,187,95,71,1,1,1,2,1,1,,,,,,
8.5055,124.647,8.49762,124.645,134,93,86,1,1,1,1,1,1,,,,,,
8.47635,124.629,8.4448,124.588,164,432,226,1,1,1,2,1,1,,,,,,
8.48933,124.658,8.47887,124.651,154,86,76,1,1,1,2,1,1,,,,,,
8.44999,124.648,8.44164,124.657,143,84,73,1,1,1,2,1,1,,,,,,
8.32283,124.595,8.43482,124.619,210,86,73,1,1,1,2,3,3,,,,,,
8.48638,124.648,8.48631,124.639,151,92,84,1,1,1,2,2,1,,,,,,
8.46189,124.625,8.47963,124.643,171,120,133,1,1,1,2,2,2,,,,,,
8.49329,124.604,8.48495,124.6,152,61,66,1,1,1,2,1,1,,,,,,
8.49223,124.742,8.50682,124.754,145,66,75,1,1,1,2,1,1,,,,,,
8.50181,124.647,8.50285,124.66,148,112,71,1,1,1,2,1,1,,,,,,
8.45889,124.659,8.45664,124.659,128,63,62,1,1,1,1,1,1,,,,,,
8.48415,124.658,8.48608,124.65,154,65,70,1,1,1,2,1,1,,,,,,
8.4736,124.647,8.47178,124.64,159,99,76,1,1,1,2,1,1,,,,,,
