from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,,,,,,,,
8.50301,124.643,8.47799,124.646,112,94,64,1,1,1,2,4,4,,,,,,,,
8.48711,124.61,8.47281,124.619,126,76,58,1,1,1,2,1,2,,,,,,,,
8.50129,124.634,8.47294,124.635,113,100,67,1,1,1,2,2,4,,,,,,,,
8.48639,124.648,8.48671,124.647,106,45,45,1,1,1,1,1,1,,,,,,,,
8.49775,124.62,8.49595,124.616,105,46,46,1,1,1,2,1,1,,,,,,,,
8.47877,124.652,8.47822,124.656,110,44,46,1,1,1,2,1,1,,,,,,,,
8.48696,124.633,8.48703,124.646,116,68,54,1,1,1,1,2,2,,,,,,,,
8.47462,124.632,8.47204,124.618,120,82,65,1,1,1,2,1,1,,,,,,,,
8.48748,124.639,8.51345,124.638,109,124,57,1,1,1,2,1,1,,,,,,,,
8.47382,124.595,8.47591,124.612,134,49,48,1,1,1,2,2,1,,,,,,,,
8.50356,124.605,8.50352,124.594,109,46,45,1,1,1,2,1,1,,,,,,,,
8.50774,124.615,8.50892,124.636,120,52,48,1,1,1,2,2,4,,,,,,,,
8.47053,124.643,8.47126,124.641,114,46,48,1,1,1,2,1,1,,,,,,,,
8.48066,124.637,8.48151,124.645,170,58,53,1,1,1,2,1,1,,,,,,,,
8.48552,124.639,8.49546,124.645,100,65,55,1,1,1,2,1,1,,,,,,,,
8.48181,124.592,8.48099,124.637,128,87,82,1,1,1,2,4,6,,,,,,,,
8.48371,124.597,8.47478,124.625,137,66,68,1,1,1,2,2,3,,,,,,,,
8.47788,124.634,8.5049,124.624,116,142,86,1,1,1,2,5,5,,,,,,,,
8.47617,124.643,8.48669,124.647,106,56,45,1,1,1,1,1,1,,,,,,,,
8.37513,124.611,8.47116,124.617,160,65,62,1,1,1,2,4,4,,,,,,,,
8.48592,124.659,8.48573,124.651,106,47,45,1,1,1,2,1,1,,,,,,,,
8.47154,124.64,8.47229,124.629,118,55,52,1,1,1,2,1,1,,,,,,,,
8.4908,124.604,8.50777,124.624,121,58,54,1,1,1,1,4,4,,,,,,,,
8.47546,124.581,8.47546,124.581,97,44,46,1,1,1,1,1,1,,,,,,,,
8.46602,124.626,8.43224,124.617,124,104,50,1,1,1,2,1,1,,,,,,,,
8.45213,124.632,8.4496,124.632,102,45,46,1,1,1,2,1,1,,,,,,,,
8.50376,124.636,8.50216,124.646,110,48,47,1,1,1,2,1,1,,,,,,,,
8.50931,124.646,8.50976,124.644,98,44,46,1,1,1,1,1,1,,,,,,,,
8.47384,124.633,8.4749,124.621,118,74,63,1,1,1,2,1,1,,,,,,,,
8.47191,124.639,8.47096,124.642,123,47,49,1,1,1,1,1,1,,,,,,,,
8.48462,124.639,8.49788,124.624,119,103,60,1,1,1,2,1,1,,,,,,,,
8.47826,124.602,8.49861,124.616,127,55,48,1,1,1,1,1,1,,,,,,,,
8.48132,124.629,8.44081,124.572,107,266,124,1,1,1,2,1,1,,,,,,,,
8.42199,124.609,8.4206,124.609,126,44,44,1,1,1,1,1,1,,,,,,,,
8.48224,124.635,8.47303,124.637,160,58,51,1,1,1,2,2,3,,,,,,,,
8.48696,124.632,8.4985,124.624,114,65,51,1,1,1,2,1,1,,,,,,,,
8.47255,124.606,8.47494,124.623,125,58,58,1,1,1,2,2,2,,,,,,,,
8.47461,124.622,8.47278,124.619,139,48,49,1,1,1,2,1,1,,,,,,,,
8.44392,124.588,8.48015,124.629,109,64,71,1,1,1,2,7,4,,,,,,,,
8.4757,124.611,8.47036,124.644,128,94,77,1,1,1,1,5,6,,,,,,,,
8.47916,124.656,8.47916,124.656,107,46,46,1,1,1,1,1,1,,,,,,,,
8.48831,124.642,8.50895,124.648,109,100,53,1,1,1,2,1,1,,,,,,,,
8.42366,124.606,8.42278,124.609,125,42,45,1,1,1,1,1,1,,,,,,,,
8.5011,124.6,8.48467,124.639,125,70,56,1,1,1,2,2,4,,,,,,,,
8.48366,124.647,8.47849,124.646,108,47,46,1,1,1,1,1,1,,,,,,,,
8.29271,124.519,8.3154,124.562,98,50,51,1,1,1,1,1,1,,,,,,,,
8.49411,124.638,8.49037,124.64,99,44,46,1,1,1,1,1,1,,,,,,,,
8.4192,124.613,8.40329,124.579,146,60,49,1,1,1,2,1,1,,,,,,,,
8.45475,124.624,8.47285,124.63,123,50,51,1,1,1,2,1,1,,,,,,,,
8.48132,124.629,8.47621,124.629,125,49,49,1,1,1,1,1,1,,,,,,,,
8.49172,124.604,8.48486,124.6,121,45,45,1,1,1,2,1,1,,,,,,,,
8.46414,124.625,8.44955,124.623,117,50,49,1,1,1,2,1,1,,,,,,,,
8.48655,124.648,8.48292,124.639,110,55,54,1,1,1,1,2,2,,,,,,,,
8.47754,124.649,8.49014,124.653,107,66,54,1,1,1,1,1,1,,,,,,,,
8.47301,124.635,8.47829,124.628,117,56,51,1,1,1,2,2,2,,,,,,,,
8.45821,124.633,8.45556,124.633,102,45,45,1,1,1,2,1,1,,,,,,,,
8.47555,124.647,8.47276,124.625,131,124,91,1,1,1,2,1,1,,,,,,,,
8.50458,124.624,8.4892,124.639,121,59,51,1,1,1,2,1,1,,,,,,,,
8.50305,124.642,8.49194,124.652,112,55,51,1,1,1,2,1,1,,,,,,,,
8.48473,124.638,8.48965,124.629,121,61,51,1,1,1,2,1,1,,,,,,,,
8.47828,124.633,8.47949,124.632,111,44,45,1,1,1,1,1,1,,,,,,,,
8.48549,124.636,8.48727,124.63,117,48,48,1,1,1,2,1,1,,,,,,,,
8.49279,124.604,8.486,124.6,119,49,45,1,1,1,2,1,1,,,,,,,,
8.47945,124.645,8.48727,124.63,124,107,77,1,1,1,2,2,3,,,,,,,,
8.49617,124.646,8.49547,124.643,100,45,44,1,1,1,1,1,1,,,,,,,,
8.5045,124.62,8.5046,124.624,114,46,47,1,1,1,2,1,1,,,,,,,,
8.50297,124.627,8.50436,124.617,118,48,54,1,1,1,2,2,1,,,,,,,,
8.49263,124.633,8.51236,124.624,121,69,51,1,1,1,1,1,1,,,,,,,,
8.41015,124.612,8.47856,124.627,148,75,60,1,1,1,2,6,6,,,,,,,,
8.42279,124.609,8.43019,124.616,125,48,50,1,1,1,1,1,1,,,,,,,,
8.29188,124.52,8.31112,124.55,114,49,56,1,1,1,1,1,1,,,,,,,,
8.48085,124.658,8.47826,124.656,113,45,47,1,1,1,2,1,1,,,,,,,,
8.50659,124.624,8.4928,124.633,120,53,48,1,1,1,2,2,1,,,,,,,,
8.47075,124.642,8.47292,124.62,119,102,60,1,1,1,2,1,1,,,,,,,,
8.4985,124.624,8.48635,124.634,115,48,47,1,1,1,1,2,1,,,,,,,,
8.47324,124.62,8.45384,124.603,107,118,72,1,1,1,2,1,1,,,,,,,,
8.47548,124.648,8.46943,124.628,130,110,71,1,1,1,2,1,1,,,,,,,,
8.47186,124.639,8.48466,124.657,138,128,71,1,1,1,2,4,3,,,,,,,,
8.46018,124.626,8.47102,124.629,114,48,50,1,1,1,1,1,1,,,,,,,,
8.29738,124.58,8.30653,124.582,136,45,44,1,1,1,1,1,1,,,,,,,,
8.47424,124.631,8.45664,124.625,128,86,55,1,1,1,2,1,1,,,,,,,,
