from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,Avg(Time TFTF),Avg(Time Djikstra),Avg(Time A*),Avg(Routes TFTF),Avg(Routes Djik ),Avg(Routes A*)
8.48452,124.639,8.47285,124.635,126,65,55,1,1,1,2,1,2,,,,,,
8.48741,124.63,8.50428,124.615,113,114,52,1,1,1,2,2,2,,,,,,
8.47419,124.61,8.50455,124.624,141,157,83,1,1,1,2,1,1,,,,,,
8.47465,124.621,8.47785,124.628,132,55,54,1,1,1,1,1,1,,,,,,
8.48446,124.657,8.46838,124.607,126,243,237,1,1,1,2,7,7,,,,,,
8.50912,124.647,8.48395,124.657,112,73,55,1,1,1,2,4,3,,,,,,
8.47246,124.63,8.50539,124.625,127,170,108,1,1,1,2,7,5,,,,,,
8.51277,124.628,8.48361,124.596,126,160,76,1,1,1,2,2,2,,,,,,
8.33814,124.598,8.47421,124.631,158,75,65,1,1,1,2,3,3,,,,,,
8.4718,124.64,8.47439,124.65,128,65,56,1,1,1,1,2,2,,,,,,
8.4804,124.629,8.44854,124.585,107,254,127,1,1,1,2,1,1,,,,,,
8.50148,124.633,8.48081,124.637,110,69,56,1,1,1,1,1,3,,,,,,
8.47461,124.623,8.48726,124.649,156,141,94,1,1,1,2,7,7,,,,,,
8.48612,124.65,8.47693,124.644,111,52,48,1,1,1,1,1,1,,,,,,
8.47695,124.651,8.46625,124.632,125,106,69,1,1,1,2,3,3,,,,,,
8.47657,124.638,8.50369,124.594,106,235,123,1,1,1,2,4,3,,,,,,
8.39187,124.536,8.50398,124.62,141,220,155,1,1,1,2,7,5,,,,,,
8.47241,124.63,8.48759,124.639,120,93,72,1,1,1,2,2,2,,,,,,
8.48087,124.611,8.50107,124.623,116,51,48,1,1,1,2,2,2,,,,,,
8.37799,124.563,8.48266,124.646,113,140,110,1,1,1,3,5,6,,,,,,
8.48478,124.638,8.39243,124.549,116,331,362,1,1,1,2,4,4,,,,,,
8.48374,124.657,8.47198,124.617,113,168,113,1,1,1,2,4,5,,,,,,
8.48693,124.631,8.40228,124.572,118,320,292,1,1,1,2,5,5,,,,,,
8.4962,124.604,8.50387,124.594,118,88,68,1,1,1,2,3,3,,,,,,
8.50384,124.608,8.47197,124.618,150,179,109,1,1,1,2,6,5,,,,,,
8.47307,124.638,8.47195,124.618,121,115,74,1,1,1,2,2,2,,,,,,
8.48635,124.61,8.49331,124.641,128,150,96,1,1,1,2,4,3,,,,,,
8.46426,124.625,8.50302,124.643,124,153,87,1,1,1,2,3,5,,,,,,
8.5035,124.621,8.48198,124.636,121,69,56,1,1,1,2,3,3,,,,,,
8.45927,124.641,8.42991,124.615,109,201,54,1,1,1,2,1,1,,,,,,
8.48687,124.631,8.4786,124.627,129,50,47,1,1,1,2,1,1,,,,,,
8.4533,124.633,8.47477,124.645,118,64,56,1,1,1,2,2,2,,,,,,
8.47386,124.628,8.3282,124.598,127,342,176,1,1,1,2,2,2,,,,,,
8.48315,124.646,8.42672,124.627,99,257,185,1,1,1,2,3,3,,,,,,
8.47856,124.627,8.46452,124.625,163,155,119,1,1,1,2,4,4,,,,,,
8.34606,124.601,8.50387,124.608,173,246,166,1,1,1,2,7,10,,,,,,
8.39954,124.608,8.40946,124.603,112,54,50,1,1,1,2,2,2,,,,,,
8.30534,124.542,8.41809,124.613,114,59,57,1,1,1,2,3,3,,,,,,
8.46574,124.585,8.40288,124.599,113,304,214,1,1,1,2,8,4,,,,,,
8.47291,124.637,8.50707,124.643,119,200,151,1,1,1,2,4,4,,,,,,
8.48068,124.638,8.49331,124.641,123,69,51,1,1,1,2,1,1,,,,,,
8.47696,124.651,8.37903,124.515,144,359,442,1,1,1,2,5,5,,,,,,
8.40246,124.576,8.48346,124.594,145,266,159,1,1,1,2,4,5,,,,,,
8.47301,124.638,8.44857,124.582,129,270,163,1,1,1,2,2,2,,,,,,
8.37555,124.611,8.49586,124.631,166,175,135,1,1,1,2,7,7,,,,,,
8.44056,124.566,8.50343,124.603,112,151,83,1,1,1,2,3,3,,,,,,
8.40261,124.577,8.47299,124.62,144,89,71,1,1,1,2,3,3,,,,,,
8.4811,124.638,8.4852,124.654,115,101,60,1,1,1,2,3,2,,,,,,
8.2974,124.581,8.48204,124.646,149,142,103,1,1,1,2,4,4,,,,,,
8.46664,124.648,8.47065,124.643,110,45,43,1,1,1,2,1,1,,,,,,
8.49314,124.639,8.48126,124.637,110,55,53,1,1,1,1,2,2,,,,,,
8.45857,124.619,8.4723,124.618,129,50,47,1,1,1,1,1,1,,,,,,
8.49435,124.612,8.49559,124.631,122,57,51,1,1,1,2,2,2,,,,,,
8.46405,124.625,8.37953,124.562,104,346,315,1,1,1,2,3,3,,,,,,
8.48608,124.65,8.37438,124.51,168,367,466,1,1,1,3,5,6,,,,,,
8.49603,124.631,8.47204,124.617,143,164,80,1,1,1,2,4,5,,,,,,
8.49805,124.624,8.45766,124.633,107,154,75,1,1,1,2,3,3,,,,,,
8.4245,124.609,8.48117,124.629,140,71,64,1,1,1,2,5,5,,,,,,
8.48653,124.659,8.47113,124.643,117,77,60,1,1,1,2,6,6,,,,,,
8.47571,124.582,8.41041,124.612,111,291,206,1,1,1,2,7,7,,,,,,
8.39965,124.561,8.49071,124.635,155,174,148,1,1,1,2,8,9,,,,,,
8.47586,124.642,8.50872,124.636,115,159,80,1,1,1,2,2,2,,,,,,
8.50235,124.6,8.50432,124.625,119,53,44,1,1,1,1,1,2,,,,,,
8.5078,124.643,8.40132,124.592,143,330,247,1,1,1,3,7,5,,,,,,
8.47732,124.649,8.48314,124.658,115,57,52,1,1,1,2,1,1,,,,,,
8.47313,124.638,8.46591,124.632,110,61,50,1,1,1,1,1,1,,,,,,
8.49065,124.64,8.50286,124.631,114,71,50,1,1,1,2,1,1,,,,,,
8.48612,124.648,8.48563,124.636,134,58,53,1,1,1,2,2,3,,,,,,
8.44692,124.581,8.50415,124.633,130,177,114,1,1,1,2,5,5,,,,,,
8.4307,124.641,8.50413,124.62,118,172,79,1,1,1,3,4,4,,,,,,
8.50305,124.642,8.47048,124.643,113,119,68,1,1,1,2,4,6,,,,,,
8.49551,124.594,8.48457,124.639,114,63,54,1,1,1,2,2,5,,,,,,
8.44329,124.621,8.3847,124.61,132,147,54,1,1,1,2,1,1,,,,,,
8.47048,124.643,8.48175,124.636,124,58,53,1,1,1,2,1,1,,,,,,
8.46142,124.619,8.47503,124.58,109,250,133,1,1,1,2,4,4,,,,,,
8.45751,124.633,8.20601,124.535,102,416,311,1,1,1,2,3,4,,,,,,
8.39287,124.522,8.48639,124.648,152,173,140,1,1,1,2,5,5,,,,,,
8.46305,124.625,8.37784,124.515,121,379,458,1,1,1,2,2,2,,,,,,
8.48688,124.631,8.46943,124.628,122,110,85,1,1,1,2,3,2,,,,,,
8.48658,124.647,8.39264,124.549,143,347,399,1,1,1,2,6,5,,,,,,
8.47816,124.628,8.4287,124.614,167,253,147,1,1,1,2,4,4,,,,,,
8.47953,124.637,8.47571,124.626,141,89,60,1,1,1,2,1,1,,,,,,
8.51144,124.632,8.44537,124.579,110,291,256,1,1,1,2,5,4,,,,,,
8.50421,124.62,8.46917,124.573,105,294,309,1,1,1,2,4,4,,,,,,
8.44351,124.577,8.49462,124.632,118,118,86,1,1,1,2,4,4,,,,,,
8.47916,124.638,8.51294,124.615,124,181,92,1,1,1,2,3,2,,,,,,
8.5045,124.62,8.50398,124.61,114,49,46,1,1,1,1,1,1,,,,,,
8.3898,124.517,8.48756,124.63,146,167,161,1,1,1,2,7,6,,,,,,
8.50441,124.618,8.40394,124.611,159,300,234,1,1,1,2,3,5,,,,,,
8.4803,124.637,8.4888,124.66,122,139,88,1,1,1,2,3,2,,,,,,
8.47217,124.626,8.48214,124.63,106,48,50,1,1,1,2,3,2,,,,,,
8.47928,124.637,8.49194,124.653,121,154,121,1,1,1,2,5,5,,,,,,
8.50321,124.64,8.38646,124.61,165,318,235,1,1,1,2,5,3,,,,,,
8.47426,124.631,8.29093,124.58,111,399,216,1,1,1,2,2,2,,,,,,
8.46018,124.626,8.50912,124.647,128,196,105,1,1,1,2,3,5,,,,,,
8.32063,124.593,8.47711,124.65,170,150,88,1,1,1,2,6,7,,,,,,
8.50521,124.634,8.48378,124.61,129,118,57,1,1,1,2,4,4,,,,,,
8.48364,124.595,8.4637,124.632,117,131,88,1,1,1,2,5,8,,,,,,
8.48674,124.647,8.50983,124.643,105,106,53,1,1,1,2,1,1,,,,,,
8.47424,124.631,8.49861,124.638,123,186,147,1,1,1,2,4,5,,,,,,
8.47294,124.635,8.47492,124.646,123,71,58,1,1,1,1,2,2,,,,,,
8.46457,124.584,8.49133,124.593,109,237,119,1,1,1,2,2,2,,,,,,
8.39359,124.549,8.48635,124.634,141,161,125,1,1,1,2,5,4,,,,,,
8.50342,124.621,8.39414,124.521,119,375,451,1,1,1,2,6,5,,,,,,
8.48274,124.638,8.50435,124.637,122,128,68,1,1,1,2,1,1,,,,,,
8.49559,124.631,8.47421,124.631,147,112,71,1,1,1,2,3,2,,,,,,
8.49639,124.646,8.48778,124.627,108,150,124,1,1,1,2,6,5,,,,,,
8.51233,124.619,8.45545,124.632,125,192,85,1,1,1,2,2,3,,,,,,
8.39232,124.535,8.48313,124.657,154,211,155,1,1,1,2,7,8,,,,,,
8.47414,124.633,8.39203,124.521,118,391,557,1,1,1,2,1,1,,,,,,
8.40719,124.57,8.48707,124.639,143,154,99,1,1,1,2,4,4,,,,,,
8.50539,124.625,8.4635,124.611,105,295,315,1,1,1,2,3,4,,,,,,
8.4897,124.652,8.39997,124.609,175,326,234,1,1,1,3,6,4,,,,,,
8.44312,124.573,8.47409,124.614,115,65,64,1,1,1,2,2,2,,,,,,
8.48678,124.647,8.25344,124.564,125,430,362,1,1,1,2,6,5,,,,,,
8.476,124.611,8.42444,124.609,141,291,172,1,1,1,2,4,4,,,,,,
8.47472,124.625,8.44556,124.637,121,203,107,1,1,1,2,5,5,,,,,,
8.50392,124.626,8.4981,124.65,136,78,62,1,1,1,2,2,2,,,,,,
8.47395,124.632,8.49788,124.624,142,164,101,1,1,1,2,4,3,,,,,,
8.47697,124.651,8.47859,124.643,116,52,56,1,1,1,1,1,1,,,,,,
8.47581,124.631,8.46162,124.584,158,257,133,1,1,1,2,1,1,,,,,,
8.4958,124.641,8.47316,124.602,152,219,142,1,1,1,2,4,4,,,,,,
8.16405,124.554,8.50112,124.632,142,217,170,1,1,1,2,8,8,,,,,,
8.46964,124.589,8.49472,124.626,133,92,71,1,1,1,2,3,3,,,,,,
8.50968,124.636,8.4457,124.622,138,257,182,1,1,1,2,7,6,,,,,,
8.48195,124.658,8.48472,124.659,114,47,46,1,1,1,2,1,1,,,,,,
8.51244,124.621,8.46066,124.626,156,229,164,1,1,1,2,4,5,,,,,,
8.47856,124.603,8.40972,124.612,151,299,210,1,1,1,2,7,6,,,,,,
8.45335,124.633,8.47661,124.638,118,89,53,1,1,1,2,2,2,,,,,,
8.30746,124.544,8.48081,124.637,122,103,87,1,1,1,2,5,5,,,,,,
8.46036,124.626,8.44189,124.621,148,53,49,1,1,1,2,1,1,,,,,,
8.48687,124.633,8.50298,124.643,114,131,78,1,1,1,2,4,4,,,,,,
8.45751,124.633,8.45606,124.624,108,170,106,1,1,1,2,3,4,,,,,,
8.42577,124.615,8.46144,124.626,141,54,51,1,1,1,2,2,2,,,,,,
8.50458,124.643,8.47996,124.656,112,108,64,1,1,1,2,3,3,,,,,,
8.45765,124.625,8.48515,124.637,130,109,74,1,1,1,2,1,1,,,,,,
8.45373,124.624,8.48472,124.659,146,166,116,1,1,1,2,6,7,,,,,,
8.47099,124.642,8.49327,124.641,118,121,86,1,1,1,2,5,3,,,,,,
8.50881,124.648,8.39977,124.611,168,309,230,1,1,1,2,7,6,,,,,,
8.48419,124.596,8.51189,124.623,134,91,62,1,1,1,1,4,4,,,,,,
8.50007,124.635,8.4825,124.634,119,66,60,1,1,1,2,6,6,,,,,,
8.47205,124.639,8.48877,124.66,130,152,86,1,1,1,2,5,4,,,,,,
8.44766,124.631,8.50952,124.65,114,187,104,1,1,1,2,3,3,,,,,,
8.48703,124.646,8.45088,124.583,135,313,225,1,1,1,2,4,4,,,,,,
8.4791,124.589,8.48679,124.633,111,101,92,1,1,1,2,4,4,,,,,,
8.49383,124.641,8.47766,124.643,130,77,59,1,1,1,2,2,3,,,,,,
8.45175,124.623,8.19566,124.528,115,453,119,1,1,1,2,1,1,,,,,,
8.4722,124.618,8.47717,124.646,133,109,79,1,1,1,2,3,3,,,,,,
8.48061,124.637,8.47446,124.61,129,239,139,1,1,1,2,2,3,,,,,,
8.43461,124.619,8.49194,124.653,153,278,206,1,1,1,2,10,10,,,,,,
8.47831,124.656,8.47693,124.644,113,69,49,1,1,1,2,1,2,,,,,,
8.50947,124.637,8.47681,124.638,128,116,61,1,1,1,2,4,3,,,,,,
8.47621,124.643,8.50781,124.653,104,187,122,1,1,1,2,3,2,,,,,,
8.4842,124.645,8.47548,124.647,123,51,48,1,1,1,2,2,2,,,,,,
8.43022,124.617,8.50304,124.642,165,197,114,1,1,1,2,8,6,,,,,,
8.47661,124.637,8.30179,124.54,108,494,415,1,1,1,2,3,3,,,,,,
8.4967,124.63,8.47881,124.645,126,80,56,1,1,1,2,4,4,,,,,,
8.48301,124.631,8.49805,124.624,134,143,88,1,1,1,2,2,2,,,,,,
8.50333,124.6,8.4735,124.608,149,154,68,1,1,1,2,5,3,,,,,,
8.48276,124.646,8.47737,124.601,134,247,197,1,1,1,2,2,2,,,,,,
8.48465,124.639,8.47898,124.656,120,109,60,1,1,1,2,3,3,,,,,,
8.42951,124.617,8.4862,124.65,160,167,125,1,1,1,3,7,3,,,,,,
8.47186,124.639,8.48678,124.647,134,113,88,1,1,1,2,3,3,,,,,,
8.46426,124.625,8.48487,124.639,131,89,75,1,1,1,2,1,1,,,,,,
8.29698,124.533,8.48068,124.645,125,136,97,1,1,1,2,4,6,,,,,,
8.50299,124.641,8.47213,124.617,142,178,92,1,1,1,2,4,4,,,,,,
8.47509,124.626,8.47989,124.605,122,154,90,1,1,1,2,1,1,,,,,,
8.44654,124.631,8.48277,124.63,123,80,79,1,1,1,2,2,2,,,,,,
8.45716,124.625,8.48359,124.598,134,322,135,1,1,1,2,2,2,,,,,,
8.47096,124.642,8.49959,124.593,151,355,288,1,1,1,2,5,6,,,,,,
8.48276,124.638,8.47384,124.633,123,93,72,1,1,1,2,1,2,,,,,,
8.46584,124.626,8.46038,124.614,120,63,54,1,1,1,2,1,1,,,,,,
8.48259,124.644,8.50507,124.639,129,192,92,1,1,1,2,1,1,,,,,,
8.46601,124.612,8.49919,124.649,120,326,295,1,1,1,2,5,6,,,,,,
8.48607,124.635,8.48432,124.658,122,110,55,1,1,1,2,3,2,,,,,,
8.47694,124.651,8.47313,124.638,144,68,60,1,1,1,2,1,3,,,,,,
8.44345,124.59,8.50444,124.624,112,96,73,1,1,1,2,3,2,,,,,,
8.48068,124.638,8.35596,124.601,140,369,269,1,1,1,2,1,1,,,,,,
8.49273,124.627,8.44683,124.631,112,244,82,1,1,1,2,3,3,,,,,,
8.47406,124.652,8.4752,124.611,147,214,117,1,1,1,2,1,1,,,,,,
8.46082,124.606,8.49659,124.641,130,149,108,1,1,1,2,6,6,,,,,,
8.46927,124.628,8.50373,124.606,136,244,158,1,1,1,2,6,7,,,,,,
8.50448,124.62,8.36587,124.501,134,383,512,1,1,1,3,5,7,,,,,,
8.22053,124.54,8.47816,124.628,131,86,78,1,1,1,2,3,4,,,,,,
8.47621,124.629,8.48498,124.638,127,96,77,1,1,1,2,1,1,,,,,,
8.50451,124.621,8.47053,124.643,140,125,75,1,1,1,2,3,3,,,,,,
8.50429,124.615,8.50372,124.594,111,57,49,1,1,1,2,1,1,,,,,,
8.46311,124.569,8.38131,124.515,108,402,508,1,1,1,2,6,5,,,,,,
8.498,124.65,8.45055,124.623,124,211,156,1,1,1,2,4,4,,,,,,
8.43895,124.644,8.5039,124.636,113,176,110,1,1,1,2,4,3,,,,,,
8.51089,124.624,8.47285,124.63,140,130,82,1,1,1,2,3,4,,,,,,
8.4748,124.622,8.48393,124.657,128,174,120,1,1,1,2,8,7,,,,,,
8.47288,124.63,8.49522,124.612,133,254,203,1,1,1,2,9,9,,,,,,
8.49209,124.654,8.51024,124.635,117,81,51,1,1,1,2,1,1,,,,,,
8.45774,124.641,8.40173,124.586,112,332,294,1,1,1,2,6,7,,,,,,
8.47631,124.638,8.50467,124.633,129,153,81,1,1,1,2,3,3,,,,,,
