from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,Avg(Time TFTF),Avg(Time Djikstra),Avg(Time A*),Avg(Routes TFTF),Avg(Routes Djik ),Avg(Routes A*)
8.48645,124.648,8.47763,124.649,40,16,14,1,1,1,2,1,1,,,,,,
8.48175,124.636,8.47934,124.628,28,15,10,1,1,1,2,1,1,,,,,,
8.49695,124.657,8.50187,124.662,33,17,13,1,1,1,2,1,1,,,,,,
8.47208,124.639,8.47318,124.634,25,15,8,1,1,1,1,1,1,,,,,,
8.4307,124.641,8.45458,124.645,21,14,18,1,1,1,1,1,1,,,,,,
8.48534,124.754,8.48657,124.754,37,15,7,1,1,1,1,1,1,,,,,,
8.45806,124.659,8.45184,124.662,27,11,12,1,1,1,1,1,1,,,,,,
8.48036,124.671,8.47439,124.682,49,10,13,1,1,1,2,1,1,,,,,,
8.47777,124.652,8.50246,124.664,49,31,21,1,1,1,2,1,1,,,,,,
8.50394,124.659,8.4951,124.658,39,20,14,1,1,1,1,1,1,,,,,,
8.47779,124.643,8.47746,124.652,34,9,12,1,1,1,1,1,1,,,,,,
8.47978,124.672,8.50668,124.764,35,77,22,1,1,1,2,1,1,,,,,,
8.48868,124.641,8.48796,124.643,34,14,10,1,1,1,2,1,1,,,,,,
8.49548,124.653,8.47681,124.638,34,31,15,1,1,1,2,3,2,,,,,,
8.46173,124.709,8.47462,124.687,25,13,20,1,1,1,2,1,1,,,,,,
8.49561,124.654,8.5041,124.659,32,28,17,1,1,1,2,1,1,,,,,,
8.47646,124.657,8.4756,124.666,35,13,15,1,1,1,2,1,1,,,,,,
8.47434,124.65,8.4307,124.641,26,41,20,1,1,1,2,1,1,,,,,,
8.47154,124.681,8.47801,124.646,38,13,14,1,1,1,1,1,1,,,,,,
8.50435,124.662,8.48193,124.649,35,20,20,1,1,1,2,1,1,,,,,,
8.47828,124.633,8.4989,124.662,27,4,13,1,1,1,2,1,1,,,,,,
8.4789,124.764,8.4858,124.753,33,14,8,1,1,1,1,1,1,,,,,,
8.503,124.643,8.50931,124.636,24,13,17,1,1,1,1,1,1,,,,,,
8.48366,124.647,8.49095,124.655,34,13,14,1,1,1,2,1,1,,,,,,
8.48694,124.753,8.49846,124.755,31,19,14,1,1,1,1,1,1,,,,,,
8.48385,124.663,8.48448,124.662,38,12,12,1,1,1,1,1,1,,,,,,
8.47462,124.681,8.47951,124.673,40,14,17,1,1,1,1,1,1,,,,,,
8.50507,124.639,8.50309,124.66,28,16,13,1,1,1,2,1,1,,,,,,
8.48743,124.645,8.48008,124.637,34,14,12,1,1,1,1,1,1,,,,,,
8.48036,124.671,8.50168,124.751,49,66,18,1,1,1,2,1,1,,,,,,
8.47448,124.681,8.49223,124.742,48,53,21,1,1,1,2,1,1,,,,,,
